oyster_number,oyster_sex,case_number,date,msx_intensity,perkinsus_intensity
1,F,556,07/11/2023,N,N
2,M,556,07/11/2023,N,N
3,M,556,07/11/2023,N,N
4,M,556,07/11/2023,N,N
5,F,556,07/11/2023,N,N
6,F,556,07/11/2023,N,N
7,F,556,07/11/2023,N,N
8,M,556,07/11/2023,N,N
9,M,556,07/11/2023,N,N
10,M,556,07/11/2023,N,N
11,F,556,07/11/2023,N,N
12,M,556,07/11/2023,N,N
13,M,556,07/11/2023,N,N
14,F,556,07/11/2023,N,N
15,M,556,07/11/2023,N,N
16,M,556,07/11/2023,N,N
17,M,556,07/11/2023,N,N
18,M,556,07/11/2023,N,N
19,F,556,07/11/2023,N,N
20,F,556,07/11/2023,N,N
21,M,556,07/11/2023,N,N
22,F,556,07/11/2023,N,N
23,M,556,07/11/2023,N,N
24,M,556,07/11/2023,N,N
25,M,556,07/11/2023,N,N
26,M,558,08/07/2023,N,N
27,M,558,08/07/2023,N,N
28,F,558,08/07/2023,N,N
29,F,558,08/07/2023,N,N
30,M,558,08/07/2023,N,N
31,H,558,08/07/2023,N,H
32,F,558,08/07/2023,N,N
33,F,558,08/07/2023,N,N
34,F,558,08/07/2023,N,N
35,H,558,08/07/2023,N,N
36,F,558,08/07/2023,N,N
37,F,558,08/07/2023,N,N
38,F,558,08/07/2023,N,N
39,F,558,08/07/2023,N,N
40,F,558,08/07/2023,N,N
41,M,558,08/07/2023,N,N
42,F,558,08/07/2023,N,N
43,M,558,08/07/2023,N,N
44,F,558,08/07/2023,N,N
45,M,558,08/07/2023,N,N
46,M,558,08/07/2023,N,N
47,M,558,08/07/2023,N,N
48,M,558,08/07/2023,N,N
49,M,558,08/07/2023,N,N
50,F,558,08/07/2023,N,N
51,F,561,09/20/2023,N,R
52,M,561,09/20/2023,N,N
53,M,561,09/20/2023,N,N
54,M,561,09/20/2023,N,N
55,F,561,09/20/2023,N,N
56,F-P,561,09/20/2023,N,L
57,M,561,09/20/2023,N,N
58,F,561,09/20/2023,N,N
59,F,561,09/20/2023,N,N
60,F,561,09/20/2023,N,L
61,F,561,09/20/2023,N,N
62,F,561,09/20/2023,N,M
63,M,561,09/20/2023,N,N
64,M,561,09/20/2023,N,N
65,I,561,09/20/2023,N,N
66,M,561,09/20/2023,N,N
67,I,561,09/20/2023,N,N
68,F,561,09/20/2023,N,N
69,M,561,09/20/2023,N,N
70,F,561,09/20/2023,N,M
71,F,561,09/20/2023,N,N
72,I,561,09/20/2023,N,N
73,F,561,09/20/2023,N,N
74,M,561,09/20/2023,N,N
75,I,561,09/20/2023,N,N
76,I,562,10/16/2023,N,L
77,I,562,10/16/2023,N,R
78,I,562,10/16/2023,N,N
79,I,562,10/16/2023,N,N
80,M,562,10/16/2023,N,N
81,I,562,10/16/2023,N,L
82,I,562,10/16/2023,N,N
83,I,562,10/16/2023,N,L
84,I,562,10/16/2023,N,M
85,I,562,10/16/2023,N,N
86,I,562,10/16/2023,N,L
87,M-P,562,10/16/2023,N,LM
88,I,562,10/16/2023,N,N
89,I,562,10/16/2023,N,N
90,M-P,562,10/16/2023,N,N
91,I,562,10/16/2023,N,R
92,I,562,10/16/2023,N,L
93,I,562,10/16/2023,N,N
94,M,562,10/16/2023,N,N
95,I,562,10/16/2023,N,N
96,I,562,10/16/2023,N,N
97,I,562,10/16/2023,N,N
98,I,562,10/16/2023,N,N
99,I,562,10/16/2023,N,N
100,I,562,10/16/2023,N,N
101,I,564,11/08/2023,N,N
102,I,564,11/08/2023,N,N
103,I,564,11/08/2023,N,N
104,I,564,11/08/2023,N,N
105,I,564,11/08/2023,N,N
106,I,564,11/08/2023,N,N
107,I,564,11/08/2023,N,N
108,I,564,11/08/2023,N,N
109,I,564,11/08/2023,N,R
110,I,564,11/08/2023,N,N
111,I,564,11/08/2023,N,N
112,I,564,11/08/2023,N,N
113,I,564,11/08/2023,N,N
114,I,564,11/08/2023,N,N
115,M,564,11/08/2023,N,LM
116,M-P,564,11/08/2023,N,L
117,I,564,11/08/2023,N,M
118,M-P,564,11/08/2023,N,R
119,I,564,11/08/2023,N,N
120,I,564,11/08/2023,N,N
121,I,564,11/08/2023,N,N
122,I,564,11/08/2023,N,H
123,I,564,11/08/2023,N,N
124,I,564,11/08/2023,N,N
125,I,564,11/08/2023,N,N
126,F,569,07/23/2024,N,N
127,F,569,07/23/2024,N,N
128,NA,NA,NA,NA,NA
129,F,569,07/23/2024,N,N
130,F,569,07/23/2024,N,N
131,M,569,07/23/2024,N,N
132,M,569,07/23/2024,N,N
133,F,569,07/23/2024,N,N
134,M,569,07/23/2024,N,N
135,M,569,07/23/2024,N,N
136,F,569,07/23/2024,N,N
137,F,569,07/23/2024,N,N
138,M,569,07/23/2024,N,N
139,F,569,07/23/2024,N,N
140,F,569,07/23/2024,N,N
141,F,569,07/23/2024,N,N
142,F,569,07/23/2024,N,N
143,F,569,07/23/2024,N,N
144,F,569,07/23/2024,N,N
145,M,569,07/23/2024,N,N
146,M,569,07/23/2024,N,N
147,M,570,08/12/2024,N,N
148,F,570,08/12/2024,N,N
149,F,570,08/12/2024,N,N
150,M,570,08/12/2024,N,N
151,F,570,08/12/2024,N,N
152,F,570,08/12/2024,N,N
153,F,570,08/12/2024,N,N
154,F,570,08/12/2024,N,N
155,F,570,08/12/2024,N,N
156,M,570,08/12/2024,N,N
157,F,570,08/12/2024,N,N
158,M,570,08/12/2024,N,N
159,F,570,08/12/2024,N,N
160,F,570,08/12/2024,N,N
161,F,570,08/12/2024,N,N
162,F,570,08/12/2024,N,N
163,F,570,08/12/2024,N,N
164,M,570,08/12/2024,N,N
165,F,570,08/12/2024,N,N
166,M,570,08/12/2024,N,N
167,M,570,08/12/2024,N,N
168,F,572,09/09/2024,N,N
169,I,572,09/09/2024,N,N
170,M-P,572,09/09/2024,N,N
171,M,572,09/09/2024,N,R
172,F,572,09/09/2024,N,N
173,F,572,09/09/2024,N,N
174,F,572,09/09/2024,N,N
175,M,572,09/09/2024,N,N
176,F,572,09/09/2024,N,N
177,F,572,09/09/2024,N,N
178,M,572,09/09/2024,N,N
179,F,572,09/09/2024,N,N
180,F-P,572,09/09/2024,N,M
181,M,572,09/09/2024,N,N
182,F,572,09/09/2024,N,N
183,I,572,09/09/2024,N,N
184,I,572,09/09/2024,N,LM
185,M,572,09/09/2024,N,N
186,M,572,09/09/2024,N,N
187,F,572,09/09/2024,N,N
188,F,572,09/09/2024,N,N
189,I,574,10/07/2024,N,N
190,I,574,10/07/2024,N,N
191,I,574,10/07/2024,N,N
192,I,574,10/07/2024,N,L
193,I,574,10/07/2024,N,LM
194,F,574,10/07/2024,N,L
195,I,574,10/07/2024,N,N
196,I,574,10/07/2024,N,N
197,I,574,10/07/2024,N,N
198,I,574,10/07/2024,N,N
199,I,574,10/07/2024,N,L
200,I,574,10/07/2024,N,N
201,F,574,10/07/2024,N,N
202,I,574,10/07/2024,N,H
203,I,574,10/07/2024,N,N
204,I,574,10/07/2024,N,L
205,I,574,10/07/2024,N,N
206,I,574,10/07/2024,N,N
207,I,574,10/07/2024,N,N
208,I,574,10/07/2024,N,N
209,C,574,10/07/2024,N,N
210,I,576,11/06/2024,N,M
211,I,576,11/06/2024,N,N
212,I,576,11/06/2024,N,N
213,I,576,11/06/2024,N,N
214,I,576,11/06/2024,N,H
215,I,576,11/06/2024,N,N
216,I,576,11/06/2024,N,N
217,I,576,11/06/2024,N,N
218,I,576,11/06/2024,N,N
219,I,576,11/06/2024,N,N
220,I,576,11/06/2024,N,N
221,I,576,11/06/2024,N,LM
222,I,576,11/06/2024,N,N
223,I,576,11/06/2024,N,N
224,I,576,11/06/2024,N,N
225,I,576,11/06/2024,N,N
226,M-P,576,11/06/2024,N,N
227,I,576,11/06/2024,N,N
228,I,576,11/06/2024,N,M
229,I,576,11/06/2024,N,L
230,I,576,11/06/2024,N,N