"","rownames(env_dist_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CB_TX_2022-6-9","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_DR_ME_2022-10-25","DC_NB_RI_2022-8-19","DWS_CB_VA_2022-10-7","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","KP_FGR_FL_2022-8-23","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","Sister_Lk_LA_2022-8-9","SkR_GA_2022-6-14","SR_GB_NH_2022-8-12","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W4_VA","W3_FL","W2_LA","W5_NH","S1_LOLA","S2_DEBY","Lewisetta","YorkRiver"
"AC_LIS_CT_2023-10-3","AC_LIS_CT_2023-10-3",0,4.0752,4.4354,3.831,4.399,3.6148,4.4936,4.894,3.9074,3.5193,4.1481,4.258,5.4144,4.3627,4.2505,4.0735,4.1283,4.9891,4.4176,3.4924,3.9301,4.7933,4.1168,4.3877,3.8974,4.0351,4.2136,3.3488,4.4472,4.0901,3.5114,4.1801,5.2581,4.4354,4.894,3.5193,4.9891,4.4472,3.5114,3.0289,3.1223,3.1233,3.5415
"Cal_Lake_LA_2022-8-11","Cal_Lake_LA_2022-8-11",4.0752,0,1.7107,3.202,1.2562,2.8848,1.5586,4.7221,4.6366,2.5742,1.0864,3.1035,4.3033,1.8866,2.4504,3.1563,0.9312,2.4933,1.7604,3.3348,1.7072,2.7355,3.3667,4.151,1.7788,4.899,1.8955,2.2001,1.5041,1.6115,3.6843,0.6632,4.0335,1.7107,4.7221,2.5742,2.4933,1.5041,3.6843,2.7848,5.3319,2.5809,5.5243
"CB_TX_2022-6-9","CB_TX_2022-6-9",4.4354,1.7107,0,3.5599,1.3979,3.1497,2.6363,4.6691,4.8874,3.3568,1.5855,3.6321,4.4409,2.7561,3.267,4.1232,1.214,2.4319,2.5992,4.3052,2.2319,3.8803,3.5231,4.1533,2.9091,4.9053,2.3411,2.5643,2.5137,2.1313,4.0058,1.3028,4.1143,0,4.6691,3.3568,2.4319,2.5137,4.0058,3.876,5.9603,3.7377,6.1131
"CC_VA_2022-7-11","CC_VA_2022-7-11",3.831,3.202,3.5599,0,3.1011,2.407,4.3459,3.4422,2.2472,2.8955,2.988,2.8267,4.4157,4.3727,2.2092,4.5214,3.0035,2.5702,4.3294,3.955,2.3211,5.0027,2.1027,2.8182,3.5484,3.3836,1.964,2.4077,4.23,1.8685,3.198,3.4062,3.3433,3.5599,3.4422,2.8955,2.5702,4.23,3.198,2.9443,4.8377,2.8905,5.0246
"CPR_MS_AL_2022-8-24","CPR_MS_AL_2022-8-24",4.399,1.2562,1.3979,3.1011,0,2.474,1.9795,4.1551,4.4557,2.4442,1.7853,3.5635,4.1742,2.0777,3.0383,3.3408,1.4227,2.1632,1.9213,3.5911,2.0801,3.0675,3.1794,3.6448,2.965,4.4244,2.1194,2.5772,1.8154,1.4289,3.9711,0.8756,3.9912,1.3979,4.1551,2.4442,2.1632,1.8154,3.9711,3.2155,5.6894,3.041,5.8705
"CS_DB_NJ_2022-9-21","CS_DB_NJ_2022-9-21",3.6148,2.8848,3.1497,2.407,2.474,0,3.2716,2.3153,2.7751,1.6396,3.2403,3.2315,3.6854,3.0756,3.563,2.8682,3.0269,3.2197,3.0797,2.7213,2.8389,3.7094,3.3766,1.572,3.8804,2.4486,2.8229,2.3111,3.1416,2.3695,2.5596,2.8028,3.4013,3.1497,2.3153,1.6396,3.2197,3.1416,2.5596,2.5653,5.2271,2.558,5.2897
"Culch_Ba_LA_2022-6-21","Culch_Ba_LA_2022-6-21",4.4936,1.5586,2.6363,4.3459,1.9795,3.2716,0,5.2123,5.4472,2.5153,2.5965,4.0811,4.6965,0.5758,3.8608,2.2158,2.3926,3.8143,0.4859,2.8634,3.1047,1.3335,4.6201,4.6886,2.7512,5.2369,3.3573,3.2805,0.218,2.8817,4.2546,1.4573,4.9075,2.6363,5.2123,2.5153,3.8143,0.218,4.2546,2.9358,5.8742,2.7556,6.0577
"DC_DR_ME_2022-10-25","DC_DR_ME_2022-10-25",4.894,4.7221,4.6691,3.4422,4.1551,2.3153,5.2123,0,2.5692,3.7925,4.7966,4.7037,4.7623,5.0571,4.7371,4.7619,4.6212,3.9573,5.0479,4.7119,4.2969,5.6484,3.928,0.9953,5.6567,2.3645,4.116,3.4727,5.1008,3.8608,3.8654,4.6657,4.2952,4.6691,0,3.7925,3.9573,5.1008,3.8654,4.5261,6.1997,4.5566,6.2041
"DC_NB_RI_2022-8-19","DC_NB_RI_2022-8-19",3.9074,4.6366,4.8874,2.2472,4.4557,2.7751,5.4472,2.5692,0,3.6048,4.533,4.3729,5.6376,5.3335,3.8106,4.9373,4.4998,4.03,5.3478,4.3276,4.0635,5.8478,3.3877,2.4249,4.9486,2.0547,3.7542,3.1489,5.3451,3.5522,3.7131,4.7769,4.6986,4.8874,2.5692,3.6048,4.03,5.3451,3.7131,3.5721,5.4113,3.6581,5.6515
"DWS_CB_VA_2022-10-7","DWS_CB_VA_2022-10-7",3.5193,2.5742,3.3568,2.8955,2.4442,1.6396,2.5153,3.7925,3.6048,0,3.3022,3.602,4.3202,2.2283,3.7147,1.8142,3.1076,3.8386,2.294,1.4623,3.1604,2.5804,3.9693,3.1354,3.4895,3.1874,3.2199,2.9707,2.3873,2.5275,3.2174,2.5251,4.2606,3.3568,3.7925,0,3.8386,2.3873,3.2174,1.4782,5.1873,1.4328,5.3923
"EC_ApBay_FL_2023-10-4","EC_ApBay_FL_2023-10-4",4.1481,1.0864,1.5855,2.988,1.7853,3.2403,2.5965,4.7966,4.533,3.3022,0,2.8526,4.4179,2.9172,1.8703,4.0856,0.4193,2.0091,2.7902,4.1078,1.2335,3.7934,2.9514,4.2443,1.626,5.1099,1.3374,1.8692,2.5532,1.5791,3.6634,1.4294,3.813,1.5855,4.7966,3.3022,2.0091,2.5532,3.6634,3.3327,5.3145,3.1561,5.4895
"FFJ_CF_NC_2023-7-19","FFJ_CF_NC_2023-7-19",4.258,3.1035,3.6321,2.8267,3.5635,3.2315,4.0811,4.7037,4.3729,3.602,2.8526,0,2.7844,4.2467,2.695,4.4861,2.9754,3.4948,4.2007,4.1536,2.0275,4.8049,3.6183,3.8413,2.8881,5.1683,2.2866,2.5873,4.0443,2.9441,2.013,3.3969,1.7814,3.6321,4.7037,3.602,3.4948,4.0443,2.013,3.5325,4.8244,3.437,4.5988
"FP_Sav_GA_2022-6-10","FP_Sav_GA_2022-6-10",5.4144,4.3033,4.4409,4.4157,4.1742,3.6854,4.6965,4.7623,5.6376,4.3202,4.4179,2.7844,0,4.7456,4.8222,4.9156,4.3237,4.501,4.6878,5.0018,3.5398,5.252,4.655,3.9591,4.9495,5.7619,3.9294,4.2437,4.6302,4.2071,3.2319,4.2824,1.8003,4.4409,4.7623,4.3202,4.501,4.6302,3.2319,5.0153,5.4479,4.9221,4.9425
"GalBay_TX_2022-6-2","GalBay_TX_2022-6-2",4.3627,1.8866,2.7561,4.3727,2.0777,3.0756,0.5758,5.0571,5.3335,2.2283,2.9172,4.2467,4.7456,0,4.1562,1.8259,2.671,4.0488,0.2077,2.5287,3.3679,1.1579,4.773,4.5341,3.0909,4.9251,3.6038,3.3946,0.4989,3.0357,4.198,1.6654,5.0127,2.7561,5.0571,2.2283,4.0488,0.4989,4.198,2.7929,5.9312,2.6455,6.124
"GriceCove_SC_2022-8-10","GriceCove_SC_2022-8-10",4.2505,2.4504,3.267,2.2092,3.0383,3.563,3.8608,4.7371,3.8106,3.7147,1.8703,2.695,4.8222,4.1562,0,4.7865,2.1728,2.1611,4.0791,4.4881,1.5688,4.7439,2.3224,4.2272,2.1386,5.0698,1.2499,2.0935,3.8325,1.8507,3.7638,2.9706,3.7926,3.267,4.7371,3.7147,2.1611,3.8325,3.7638,3.347,4.8941,3.1933,5.1063
"HC_DB_NJ_2022-9-23","HC_DB_NJ_2022-9-23",4.0735,3.1563,4.1232,4.5214,3.3408,2.8682,2.2158,4.7619,4.9373,1.8142,4.0856,4.4861,4.9156,1.8259,4.7865,0,3.9024,5.0277,2.0115,1.2205,4.1913,1.5355,5.3491,4.2373,3.8978,4.2979,4.3965,3.7923,2.2049,3.8489,3.8477,3.1076,5.2516,4.1232,4.7619,1.8142,5.0277,2.2049,3.8477,2.237,5.7929,2.2214,5.9509
"IL_ApBay_FL_2023-10-3","IL_ApBay_FL_2023-10-3",4.1283,0.9312,1.214,3.0035,1.4227,3.0269,2.3926,4.6212,4.4998,3.1076,0.4193,2.9754,4.3237,2.671,2.1728,3.9024,0,1.9717,2.5337,3.9792,1.3487,3.6218,2.9889,4.073,1.9024,4.9209,1.4584,1.9031,2.3243,1.482,3.6511,1.1013,3.8093,1.214,4.6212,3.1076,1.9717,2.3243,3.6511,3.2971,5.4017,3.1244,5.5751
"KP_FGR_FL_2022-8-23","KP_FGR_FL_2022-8-23",4.9891,2.4933,2.4319,2.5702,2.1632,3.2197,3.8143,3.9573,4.03,3.8386,2.0091,3.4948,4.501,4.0488,2.1611,5.0277,1.9717,0,3.9082,5.0527,1.7876,4.9002,1.9242,3.6229,3.4289,4.8097,1.3731,2.4816,3.717,1.4545,4.3359,2.6195,3.6767,2.4319,3.9573,3.8386,0,3.717,4.3359,4.2513,5.7184,4.0914,5.8651
"LakeFortuna_LA_2022-5-11","LakeFortuna_LA_2022-5-11",4.4176,1.7604,2.5992,4.3294,1.9213,3.0797,0.4859,5.0479,5.3478,2.294,2.7902,4.2007,4.6878,0.2077,4.0791,2.0115,2.5337,3.9082,0,2.687,3.2602,1.31,4.6791,4.5249,3.0451,4.9708,3.4954,3.3528,0.357,2.9301,4.221,1.507,4.9416,2.5992,5.0479,2.294,3.9082,0.357,4.221,2.8868,5.9431,2.7298,6.1316
"LCP_UP_MD_2022-10-20","LCP_UP_MD_2022-10-20",3.4924,3.3348,4.3052,3.955,3.5911,2.7213,2.8634,4.7119,4.3276,1.4623,4.1078,4.1536,5.0018,2.5287,4.4881,1.2205,3.9792,5.0527,2.687,0,4.0897,2.4029,5.0987,4.0909,3.7438,3.8293,4.2415,3.6436,2.8218,3.7248,3.4397,3.3728,5.0862,4.3052,4.7119,1.4623,5.0527,2.8218,3.4397,1.3641,5.3651,1.4522,5.5753
"Mer_GA_2022-7-26","Mer_GA_2022-7-26",3.9301,1.7072,2.2319,2.3211,2.0801,2.8389,3.1047,4.2969,4.0635,3.1604,1.2335,2.0275,3.5398,3.3679,1.5688,4.1913,1.3487,1.7876,3.2602,4.0897,0,4.1422,2.2286,3.6481,2.1526,4.8259,0.6943,1.777,3.0429,1.3668,3.111,2.0404,2.841,2.2319,4.2969,3.1604,1.7876,3.0429,3.111,3.2861,4.6118,3.1188,4.6692
"Nickle_Rf_LA_2022-8-1","Nickle_Rf_LA_2022-8-1",4.7933,2.7355,3.8803,5.0027,3.0675,3.7094,1.3335,5.6484,5.8478,2.5804,3.7934,4.8049,5.252,1.1579,4.7439,1.5355,3.6218,4.9002,1.31,2.4029,4.1422,0,5.4848,5.1491,3.6059,5.4254,4.3807,4.1602,1.4043,3.8197,4.7255,2.6939,5.6495,3.8803,5.6484,2.5804,4.9002,1.4043,4.7255,2.9281,6.1604,2.7923,6.3627
"OL_MI_SC_2022-5-31","OL_MI_SC_2022-5-31",4.1168,3.3667,3.5231,2.1027,3.1794,3.3766,4.6201,3.928,3.3877,3.9693,2.9514,3.6183,4.655,4.773,2.3224,5.3491,2.9889,1.9242,4.6791,5.0987,2.2286,5.4848,0,3.5847,3.8871,4.4772,2.0552,2.8521,4.5212,2.1209,4.3193,3.5685,3.8853,3.5231,3.928,3.9693,1.9242,4.5212,4.3193,4.1577,4.2711,4.0455,4.51
"Orrs_Cove_ME_2022-10-31","Orrs_Cove_ME_2022-10-31",4.3877,4.151,4.1533,2.8182,3.6448,1.572,4.6886,0.9953,2.4249,3.1354,4.2443,3.8413,3.9591,4.5341,4.2272,4.2373,4.073,3.6229,4.5249,4.0909,3.6481,5.1491,3.5847,0,5.035,2.294,3.5251,2.9672,4.5703,3.3128,3.0189,4.1012,3.4671,4.1533,0.9953,3.1354,3.6229,4.5703,3.0189,3.8918,5.7017,3.916,5.659
"SaLa_GA_2022-10-5","SaLa_GA_2022-10-5",3.8974,1.7788,2.9091,3.5484,2.965,3.8804,2.7512,5.6567,4.9486,3.4895,1.626,2.8881,4.9495,3.0909,2.1386,3.8978,1.9024,3.4289,3.0451,3.7438,2.1526,3.6059,3.8871,5.035,0,5.6312,2.3683,2.3865,2.7969,2.6507,3.6401,2.3134,4.4049,2.9091,5.6567,3.4895,3.4289,2.7969,3.6401,2.8915,5.0744,2.7274,5.2861
"SaltBay_Canada_2022-9-27","SaltBay_Canada_2022-9-27",4.0351,4.899,4.9053,3.3836,4.4244,2.4486,5.2369,2.3645,2.0547,3.1874,5.1099,5.1683,5.7619,4.9251,5.0698,4.2979,4.9209,4.8097,4.9708,3.8293,4.8259,5.4254,4.4772,2.294,5.6312,0,4.6471,3.862,5.103,4.1225,4.0307,4.7959,5.2974,4.9053,2.3645,3.1874,4.8097,5.103,4.0307,3.6719,6.0764,3.8028,6.3062
"Sapelo_Is_GA_2022-7-17","Sapelo_Is_GA_2022-7-17",4.2136,1.8955,2.3411,1.964,2.1194,2.8229,3.3573,4.116,3.7542,3.2199,1.3374,2.2866,3.9294,3.6038,1.2499,4.3965,1.4584,1.3731,3.4954,4.2415,0.6943,4.3807,2.0552,3.5251,2.3683,4.6471,0,1.7523,3.2828,1.0677,3.3202,2.2253,3.0005,2.3411,4.116,3.2199,1.3731,3.2828,3.3202,3.337,5.0183,3.1753,5.1247
"SawIs_MA_2022-9-5","SawIs_MA_2022-9-5",3.3488,2.2001,2.5643,2.4077,2.5772,2.3111,3.2805,3.4727,3.1489,2.9707,1.8692,2.5873,4.2437,3.3946,2.0935,3.7923,1.9031,2.4816,3.3528,3.6436,1.777,4.1602,2.8521,2.9672,2.3865,3.862,1.7523,0,3.2389,2.0421,2.4845,2.4631,3.4571,2.5643,3.4727,2.9707,2.4816,3.2389,2.4845,2.8869,4.9363,2.8252,5.0518
"Sister_Lk_LA_2022-8-9","Sister_Lk_LA_2022-8-9",4.4472,1.5041,2.5137,4.23,1.8154,3.1416,0.218,5.1008,5.3451,2.3873,2.5532,4.0443,4.6302,0.4989,3.8325,2.2049,2.3243,3.717,0.357,2.8218,3.0429,1.4043,4.5212,4.5703,2.7969,5.103,3.2828,3.2389,0,2.7628,4.2097,1.3359,4.8319,2.5137,5.1008,2.3873,3.717,0,4.2097,2.8879,5.8547,2.7087,6.0418
"SkR_GA_2022-6-14","SkR_GA_2022-6-14",4.0901,1.6115,2.1313,1.8685,1.4289,2.3695,2.8817,3.8608,3.5522,2.5275,1.5791,2.9441,4.2071,3.0357,1.8507,3.8489,1.482,1.4545,2.9301,3.7248,1.3668,3.8197,2.1209,3.3128,2.6507,4.1225,1.0677,2.0421,2.7628,0,3.6253,1.7863,3.5433,2.1313,3.8608,2.5275,1.4545,2.7628,3.6253,2.8918,5.1355,2.7203,5.3505
"SR_GB_NH_2022-8-12","SR_GB_NH_2022-8-12",3.5114,3.6843,4.0058,3.198,3.9711,2.5596,4.2546,3.8654,3.7131,3.2174,3.6634,2.013,3.2319,4.198,3.7638,3.8477,3.6511,4.3359,4.221,3.4397,3.111,4.7255,4.3193,3.0189,3.6401,4.0307,3.3202,2.4845,4.2097,3.6253,0,3.8151,2.6641,4.0058,3.8654,3.2174,4.3359,4.2097,0,3.1915,4.9618,3.2305,4.751
"TP_TX_2022-6-28","TP_TX_2022-6-28",4.1801,0.6632,1.3028,3.4062,0.8756,2.8028,1.4573,4.6657,4.7769,2.5251,1.4294,3.3969,4.2824,1.6654,2.9706,3.1076,1.1013,2.6195,1.507,3.3728,2.0404,2.6939,3.5685,4.1012,2.3134,4.7959,2.2253,2.4631,1.3359,1.7863,3.8151,0,4.1354,1.3028,4.6657,2.5251,2.6195,1.3359,3.8151,3.0015,5.5871,2.8186,5.7712
"UNCW_MS_NC_2023-7-17","UNCW_MS_NC_2023-7-17",5.2581,4.0335,4.1143,3.3433,3.9912,3.4013,4.9075,4.2952,4.6986,4.2606,3.813,1.7814,1.8003,5.0127,3.7926,5.2516,3.8093,3.6767,4.9416,5.0862,2.841,5.6495,3.8853,3.4671,4.4049,5.2974,3.0005,3.4571,4.8319,3.5433,2.6641,4.1354,0,4.1143,4.2952,4.2606,3.6767,4.8319,2.6641,4.7018,5.5555,4.6158,5.1646
"W1_TX","W1_TX",4.4354,1.7107,0,3.5599,1.3979,3.1497,2.6363,4.6691,4.8874,3.3568,1.5855,3.6321,4.4409,2.7561,3.267,4.1232,1.214,2.4319,2.5992,4.3052,2.2319,3.8803,3.5231,4.1533,2.9091,4.9053,2.3411,2.5643,2.5137,2.1313,4.0058,1.3028,4.1143,0,4.6691,3.3568,2.4319,2.5137,4.0058,3.876,5.9603,3.7377,6.1131
"W6_ME","W6_ME",4.894,4.7221,4.6691,3.4422,4.1551,2.3153,5.2123,0,2.5692,3.7925,4.7966,4.7037,4.7623,5.0571,4.7371,4.7619,4.6212,3.9573,5.0479,4.7119,4.2969,5.6484,3.928,0.9953,5.6567,2.3645,4.116,3.4727,5.1008,3.8608,3.8654,4.6657,4.2952,4.6691,0,3.7925,3.9573,5.1008,3.8654,4.5261,6.1997,4.5566,6.2041
"W4_VA","W4_VA",3.5193,2.5742,3.3568,2.8955,2.4442,1.6396,2.5153,3.7925,3.6048,0,3.3022,3.602,4.3202,2.2283,3.7147,1.8142,3.1076,3.8386,2.294,1.4623,3.1604,2.5804,3.9693,3.1354,3.4895,3.1874,3.2199,2.9707,2.3873,2.5275,3.2174,2.5251,4.2606,3.3568,3.7925,0,3.8386,2.3873,3.2174,1.4782,5.1873,1.4328,5.3923
"W3_FL","W3_FL",4.9891,2.4933,2.4319,2.5702,2.1632,3.2197,3.8143,3.9573,4.03,3.8386,2.0091,3.4948,4.501,4.0488,2.1611,5.0277,1.9717,0,3.9082,5.0527,1.7876,4.9002,1.9242,3.6229,3.4289,4.8097,1.3731,2.4816,3.717,1.4545,4.3359,2.6195,3.6767,2.4319,3.9573,3.8386,0,3.717,4.3359,4.2513,5.7184,4.0914,5.8651
"W2_LA","W2_LA",4.4472,1.5041,2.5137,4.23,1.8154,3.1416,0.218,5.1008,5.3451,2.3873,2.5532,4.0443,4.6302,0.4989,3.8325,2.2049,2.3243,3.717,0.357,2.8218,3.0429,1.4043,4.5212,4.5703,2.7969,5.103,3.2828,3.2389,0,2.7628,4.2097,1.3359,4.8319,2.5137,5.1008,2.3873,3.717,0,4.2097,2.8879,5.8547,2.7087,6.0418
"W5_NH","W5_NH",3.5114,3.6843,4.0058,3.198,3.9711,2.5596,4.2546,3.8654,3.7131,3.2174,3.6634,2.013,3.2319,4.198,3.7638,3.8477,3.6511,4.3359,4.221,3.4397,3.111,4.7255,4.3193,3.0189,3.6401,4.0307,3.3202,2.4845,4.2097,3.6253,0,3.8151,2.6641,4.0058,3.8654,3.2174,4.3359,4.2097,0,3.1915,4.9618,3.2305,4.751
"S1_LOLA","S1_LOLA",3.0289,2.7848,3.876,2.9443,3.2155,2.5653,2.9358,4.5261,3.5721,1.4782,3.3327,3.5325,5.0153,2.7929,3.347,2.237,3.2971,4.2513,2.8868,1.3641,3.2861,2.9281,4.1577,3.8918,2.8915,3.6719,3.337,2.8869,2.8879,2.8918,3.1915,3.0015,4.7018,3.876,4.5261,1.4782,4.2513,2.8879,3.1915,0,4.8308,0.2604,5.1385
"S2_DEBY","S2_DEBY",3.1223,5.3319,5.9603,4.8377,5.6894,5.2271,5.8742,6.1997,5.4113,5.1873,5.3145,4.8244,5.4479,5.9312,4.8941,5.7929,5.4017,5.7184,5.9431,5.3651,4.6118,6.1604,4.2711,5.7017,5.0744,6.0764,5.0183,4.9363,5.8547,5.1355,4.9618,5.5871,5.5555,5.9603,6.1997,5.1873,5.7184,5.8547,4.9618,4.8308,0,4.8147,0.9494
"Lewisetta","Lewisetta",3.1233,2.5809,3.7377,2.8905,3.041,2.558,2.7556,4.5566,3.6581,1.4328,3.1561,3.437,4.9221,2.6455,3.1933,2.2214,3.1244,4.0914,2.7298,1.4522,3.1188,2.7923,4.0455,3.916,2.7274,3.8028,3.1753,2.8252,2.7087,2.7203,3.2305,2.8186,4.6158,3.7377,4.5566,1.4328,4.0914,2.7087,3.2305,0.2604,4.8147,0,5.1186
"YorkRiver","YorkRiver",3.5415,5.5243,6.1131,5.0246,5.8705,5.2897,6.0577,6.2041,5.6515,5.3923,5.4895,4.5988,4.9425,6.124,5.1063,5.9509,5.5751,5.8651,6.1316,5.5753,4.6692,6.3627,4.51,5.659,5.2861,6.3062,5.1247,5.0518,6.0418,5.3505,4.751,5.7712,5.1646,6.1131,6.2041,5.3923,5.8651,6.0418,4.751,5.1385,0.9494,5.1186,0
