#YY,MM,DD,hh,mm,DEPTH,OTMP,COND,SAL,O2%,O2PPM,CLCON,TURB,PH,EH
2018,1,1,0,0,1,4.1,999,5,999,12.4,3.4,15,99,99
2018,1,1,1,0,1,4.1,999,5,999,12.4,3.1,13,99,99
2018,1,1,2,0,1,4.4,999,5.7,999,12.3,2.7,10,99,99
2018,1,1,3,0,1,4.6,999,6.1,999,12.2,2.5,8,99,99
2018,1,1,4,0,1,4.7,999,6.5,999,12.1,2.9,12,99,99
2018,1,1,5,0,1,4.6,999,6.6,999,12.1,2.8,12,99,99
2018,1,1,6,0,1,4.1,999,6.1,999,12.3,2.5,9,99,99
2018,1,1,7,0,1,4.1,999,6.1,999,12.3,2.4,8,99,99
2018,1,1,8,0,1,4.2,999,6.3,999,12.2,2.7,16,99,99
2018,1,1,9,0,1,4.1,999,6.2,999,12.2,2.8,10,99,99
2018,1,1,10,0,1,3.8,999,5.4,999,12.4,3,18,99,99
2018,1,1,11,0,1,3.2,999,4.6,999,12.6,3,19,99,99
2018,1,1,12,0,1,3.1,999,4.5,999,12.6,3.4,17,99,99
2018,1,1,13,0,1,3.3,999,5.2,999,12.5,3.2,11,99,99
2018,1,1,14,0,1,3.8,999,5.9,999,12.4,2.5,9,99,99
2018,1,1,15,0,1,4.2,999,6.6,999,12.2,2.1,15,99,99
2018,1,1,16,0,1,3.9,999,6.6,999,12.3,1.7,14,99,99
2018,1,1,17,0,1,3.8,999,7,999,12.5,2.2,13,99,99
2018,1,1,18,0,1,2.9,999,6,999,13,2.1,8,99,99
2018,1,1,19,0,1,3.9,999,6.5,999,12.5,2,13,99,99
2018,1,1,20,0,1,4,999,6.9,999,12.5,1.9,12,99,99
2018,1,1,21,0,1,3.9,999,6.8,999,12.5,2.2,21,99,99
2018,1,1,22,0,1,3.8,999,6.5,999,12.5,2.4,14,99,99
2018,1,1,23,0,1,3.8,999,6.3,999,12.5,2.7,17,99,99
2018,1,2,0,0,1,3,999,5.2,999,12.8,3.1,13,99,99
2018,1,2,1,0,1,3,999,4.8,999,12.8,3.3,16,99,99
2018,1,2,2,0,1,2.8,999,4.8,999,12.8,3.1,13,99,99
2018,1,2,3,0,1,3.1,999,5.4,999,12.7,2.5,10,99,99
2018,1,2,4,0,1,3.6,999,6.3,999,12.5,2.4,8,99,99
2018,1,2,5,0,1,3.6,999,6.6,999,12.5,2.7,13,99,99
2018,1,2,6,0,1,3.4,999,6.5,999,12.5,3,10,99,99
2018,1,2,7,0,1,3.2,999,6.3,999,12.6,2.5,9,99,99
2018,1,2,8,0,1,3.2,999,6.3,999,12.6,2.6,9,99,99
2018,1,2,9,0,1,3.2,999,6.3,999,12.5,2.8,13,99,99
2018,1,2,10,0,1,3,999,5.8,999,12.7,2.8,10,99,99
2018,1,2,11,0,1,2.5,999,5,999,12.9,3,24,99,99
2018,1,2,12,0,1,2.1,999,4.5,999,13,3.1,21,99,99
2018,1,2,13,0,1,1.9,999,4.3,999,13.1,3.2,17,99,99
2018,1,2,14,0,1,2.3,999,4.9,999,12.9,2.6,14,99,99
2018,1,2,15,0,1,2.8,999,5.6,999,12.8,2.1,11,99,99
2018,1,2,16,0,1,3,999,6.1,999,12.7,2.1,20,99,99
2018,1,2,17,0,1,3.2,999,6.8,999,12.6,1.7,14,99,99
2018,1,2,18,0,1,3.1,999,6.8,999,12.7,1.8,14,99,99
2018,1,2,19,0,1,2.9,999,6.5,999,12.8,2.3,11,99,99
2018,1,2,20,0,1,2.2,999,5.9,999,13.3,1.9,11,99,99
2018,1,2,21,0,1,3.1,999,6.3,999,12.8,2.5,18,99,99
2018,1,2,22,0,1,2.9,999,6,999,12.9,2.9,18,99,99
2018,1,2,23,0,1,2.8,999,5.9,999,12.9,2.9,17,99,99
2018,1,3,0,0,1,2.2,999,5.1,999,13.1,3,14,99,99
2018,1,3,1,0,1,2.1,999,4.6,999,13.1,3,21,99,99
2018,1,3,2,0,1,2,999,4.3,999,13.1,3.3,19,99,99
2018,1,3,3,0,1,2,999,4.6,999,13.2,3.1,14,99,99
2018,1,3,4,0,1,2.1,999,5.1,999,13.1,2.6,11,99,99
2018,1,3,5,0,1,2.5,999,5.9,999,12.8,2.7,12,99,99
2018,1,3,6,0,1,2.8,999,6.4,999,12.7,3.3,13,99,99
2018,1,3,7,0,1,2.7,999,6.4,999,12.7,3.2,11,99,99
2018,1,3,8,0,1,1.9,999,5.4,999,13,2.9,9,99,99
2018,1,3,9,0,1,1.1,999,5.2,999,13.2,2.4,8,99,99
2018,1,3,10,0,1,1.3,999,4.9,999,13.2,2.6,9,99,99
2018,1,3,11,0,1,1.2,999,4.7,999,13.3,2.8,9,99,99
2018,1,3,12,0,1,1.4,999,4.6,999,13.1,3,13,99,99
2018,1,3,13,0,1,1.2,999,4.3,999,13.1,3,15,99,99
2018,1,3,14,0,1,1.3,999,4.4,999,13.1,2.9,14,99,99
2018,1,3,15,0,1,1.8,999,5,999,13.1,2.4,11,99,99
2018,1,3,16,0,1,2.3,999,5.5,999,13,1.6,10,99,99
2018,1,3,17,0,1,2.5,999,6.1,999,12.8,2.1,17,99,99