"","site_name","salinity_quantile_10","salinity_quantile_90","temp_quantile_10","temp_quantile_90","Dermo_Prevalence","Pea_crab","salinity_quantile_10_scaled","salinity_quantile_90_scaled","temp_quantile_10_scaled","temp_quantile_90_scaled","Dermo_Prevalence_scaled","Pea_crab_scaled"
"1","AC_LIS_CT_2023-10-3",1.1,27,4.5,24.4,1,0.263157895,-1.25638197994899,0.092712794688389,-1.64932861119344,-1.05146186864862,0.946309829362121,1.40552202222687
"2","Cal_Lake_LA_2022-8-11",8.7,25,13.4,30.7,0.888888889,0,-0.483788057015038,-0.171924104554797,0.938866441878673,0.851646841023653,0.552559451456106,-0.336925850438738
"4","CC_VA_2022-7-11",27.34,32.39,6.158,27.893,1,0,1.4111001960756,0.805909238148776,-1.16716822939641,0.00370618260300573,0.946309829362121,-0.336925850438738
"5","CPR_MS_AL_2022-8-24",14,28.8,12.8,30.6,0.6875,0,0.0549945471362686,0.330886004007257,0.764381382121003,0.82143876626695,-0.161113109605968,-0.336925850438738
"6","CS_DB_NJ_2022-9-21",17.45,26.75,7.61,24.93,0.533333333,0,0.405711525310232,0.0596331822829907,-0.744914384782848,-0.891359072438098,-0.707441760678143,-0.336925850438738
"7","Culch_Ba_LA_2022-6-21",2.2,17,13.6,30.6,0.538461538,0,-1.14455917531381,-1.23047170152754,0.997028128464563,0.82143876626695,-0.689268666749404,-0.336925850438738
"9","DC_NB_RI_2022-8-19",29.2,31.7,3.5,21,1,0,1.60018239300417,0.714609507909876,-1.94013704412289,-2.07853641037652,0.946309829362121,-0.336925850438738
"11","EC_ApBay_FL_2023-10-4",10.1,31.2,14.1,30.4,1,0,-0.341468123842995,0.64845028309908,1.14243234492929,0.761022616753544,0.946309829362121,-0.336925850438738
"14","FFJ_CF_NC_2023-7-19",13.2,29.3,10,29.4,0.941176471,0,-0.0263311289620419,0.397045228818053,-0.0498822300814599,0.458941869186516,0.737853748192026,-0.336925850438738
"15","FP_Sav_GA_2022-6-10",16.8518396,28.69560821,11.88,29.48,0.736842105,0.1,0.344904276628688,0.317073044201234,0.496837623825908,0.483108328991879,0.0137431429827426,0.325204340512063
"16","GalBay_TX_2022-6-2",1,17,12.2,30,0.538461538,0,-1.26654768946128,-1.23047170152754,0.589896322363332,0.640190317726733,-0.689268666749404,-0.336925850438738
"17","GriceCove_SC_2022-8-10",22,29,12,29.4,1,0,0.868251308119373,0.357349693931575,0.531734635777442,0.458941869186516,0.946309829362121,-0.336925850438738
"18","HC_DB_NJ_2022-9-23",1.309,10.013,8.136,26.748,0.384615385,0,-1.2351356470683,-2.15498070903361,-0.591949149061957,-0.342176273361241,-1.23446149524283,-0.336925850438738
"19","IL_ApBay_FL_2023-10-3",9.7,31.6,13.9,30.3,1,0,-0.38213096189215,0.701377662947717,1.0842706583434,0.730814541996842,0.946309829362121,-0.336925850438738
"21","LakeFortuna_LA_2022-5-11",1.7,18,12.6,30.3,0.25,0,-1.19538772287525,-1.09815325190595,0.706219695535112,0.730814541996842,-1.71150522416129,-0.336925850438738
"22","LCP_UP_MD_2022-10-20",2.785,12.07,4.7,27,0.642857143,0,-1.08508977466692,-1.882801658162,-1.59116692460755,-0.26605192497435,-0.319316386095159,-0.336925850438738
"23","Mer_GA_2022-7-26",17,31,12.8,30,1,0.05,0.359965832504933,0.621986593174761,0.764381382121003,0.640190317726733,0.946309829362121,-0.00586075496333751
"24","Nickle_Rf_LA_2022-8-1",0.4,8.3,11.7,30.2,0.25,0,-1.32754194653501,-2.3816422132354,0.444492105898606,0.700606467240139,-1.71150522416129,-0.336925850438738
"27","OL_MI_SC_2022-5-31",32.404,35.61466667,10.84666667,28.36,0.764705882,0.157894737,1.9258917257779,1.2325921324696,0.196335577434836,0.144777891716807,0.112485497594235,0.708542873160626
"28","Orrs_Cove_ME_2022-10-31",26.29,31.48,7.563,21.5,0.352941176,0,1.30436024619656,0.685499448993126,-0.758582381130532,-1.927496036593,-1.34670708122769,-0.336925850438738
"30","SaLa_GA_2022-10-5",2.646948278,23.8671,12.65197754,30.62636812,1,0,-1.09912371170215,-0.3218276761311,0.721335202490041,0.829404067668487,0.946309829362121,-0.336925850438738
"31","SaltBay_Canada_2022-9-27",21.3,30.5,1.81,20.34,0.333333333,0,0.797091341533352,0.555827368363965,-2.43160329577366,-2.27790970377076,-1.41619244161772,-0.336925850438738
"32","Sapelo_Is_GA_2022-7-17",20.8,32.2,12.4,29.7,1,0,0.746262793971908,0.780768732720673,0.648058008949222,0.549566093456625,0.946309829362121,-0.336925850438738
"33","SawIs_MA_2022-9-5",11.84,30.81,11.63,24.76,0.95,0,-0.16458477832917,0.596846087746658,0.424135515593545,-0.942712799524492,0.769122159127226,-0.336925850438738
"35","SkR_GA_2022-6-14",21.53821623,29.82,11.056,30.054,1,0,0.821307711486277,0.465850822621282,0.25721147509204,0.656502678095352,0.946309829362121,-0.336925850438738
"37","TP_TX_2022-6-28",7,27,13.2,30.9,0.846153846,0,-0.656605118723948,0.092712794688389,0.880704755292783,0.912062990537058,0.401116997324946,-0.336925850438738
"38","UNCW_MS_NC_2023-7-17",21.73,34.4,10.83888889,28.72222222,0.944444444,0,0.840803892436194,1.07186932188818,0.194073733421367,0.254198250719796,0.749434638637237,-0.336925850438738
"12","CB_TX_2022-6-9",5.9,36.7,13.8,30.5,0.666666667,0,-0.768427923359125,1.37620175601784,1.05518981505045,0.791230691510247,-0.234941304355923,-0.336925850438738
"25","DC_DR_ME_2022-10-25",30.5,32.06,8.38,19.14,0.125,0,1.73233661666392,0.76224414977365,-0.52099189142717,-2.64040660085119,-2.15447439974853,-0.336925850438738
"3","KP_FGR_FL_2022-8-23",27.85066428,35.97585067,14.559,29.279,0.947368421,0,1.46301284336342,1.28038343937773,1.27591341564391,0.422390098730906,0.759796492086245,-0.336925850438738
"41","Sister_Lk_LA_2022-8-9",3,18,13.2,30.7,0.388888889,0,-1.0632334992155,-1.09815325190595,0.880704755292783,0.851646841023653,-1.21931725089284,-0.336925850438738
"51","SR_GB_NH_2022-8-12",5.9,28.6,7.2,24.2,0.9375,0,-0.768427923359125,0.304422314082938,-0.864145842283922,-1.11187801816203,0.724825241568503,-0.336925850438738
"61","WS_CB_VA_2022-10-7",12.2,19.1,6.1,28.1,1,0.722222222,-0.12798822408493,-0.952602957322196,-1.18403511850632,0.0662368973493807,0.946309829362121,4.44512552717898
