"","site_name","Latitude_manual","Longitude_manual","salinity_quantile_10","salinity_quantile_90","temp_quantile_10","temp_quantile_90","Dermo_Prevalence","Pea_crab","MSX_Prevalence","salinity_quantile_10_scaled","salinity_quantile_90_scaled","temp_quantile_10_scaled","temp_quantile_90_scaled","Dermo_Prevalence_scaled","Pea_crab_scaled","MSX_Prevalence_scaled"
"1","AC_LIS_CT_2023-10-3",41.146431,-73.235759,1.1,27,4.5,24.4,1,0.263157895,0,-1.2806580935215,0.143336768391928,-1.5138429923722,-1.07497164394178,1.04795399260685,1.84582231275914,-0.592735984307444
"2","Cal_Lake_LA_2022-8-11",29.84499,-93.3179,8.7,25,13.4,30.7,0.888888889,0,0,-0.489291458152143,-0.121443112613783,0.993656273763602,0.881808999964336,0.651979102869787,-0.348518023882863,-0.592735984307444
"4","CC_VA_2022-7-11",37.616617,-75.663933,27.34,32.39,6.158,27.893,1,0,0.0625,1.45163934228007,0.856918547702321,-1.04671560099544,0.00995451306838925,1.04795399260685,-0.348518023882863,-0.143948719317973
"5","CPR_MS_AL_2022-8-24",30.37278,-88.31833,14,28.8,12.8,30.6,0.6875,0,0,0.0625826428291193,0.381638661297069,0.824611379417368,0.850748989743604,-0.0657253858923276,-0.348518023882863,-0.592735984307444
"6","CS_DB_NJ_2022-9-21",39.073592,-74.913017,17.45,26.75,7.61,24.93,0.533333333,0,0.1333,0.421821444411262,0.110239283266214,-0.637626956677555,-0.9103535897719,-0.615140547139849,-0.348518023882863,0.3644374944621
"7","Culch_Ba_LA_2022-6-21",29.42362,-90.01914,2.2,17,13.6,30.6,0.538461538,0,0,-1.16611818577067,-1.18056263663663,1.05000457187901,0.850748989743604,-0.596864783436757,-0.348518023882863,-0.592735984307444
"9","DC_NB_RI_2022-8-19",41.55897,-71.437883,29.2,31.7,3.5,21,1,0,0,1.64531591356783,0.76556948875535,-1.79558448294926,-2.13101199144667,1.04795399260685,-0.348518023882863,-0.592735984307444
"11","EC_ApBay_FL_2023-10-4",29.695683,-84.789312,10.1,31.2,14.1,30.4,1,0,0,-0.343513393741998,0.699374518503922,1.19087531716754,0.78862896930214,1.04795399260685,-0.348518023882863,-0.592735984307444
"14","FFJ_CF_NC_2023-7-19",33.9586917,-77.941833,13.2,29.3,10,29.4,0.941176471,0,0.3333,-0.0207191082623921,0.447833631548497,0.0357352058016098,0.47802886709482,0.838320228709739,-0.348518023882863,1.80055674242841
"15","FP_Sav_GA_2022-6-10",32.01721,-80.92203,16.8518396,28.69560821,11.88,29.48,0.736842105,0.1,0.55,0.359536683469263,0.367818238429982,0.565409208086476,0.502876875271406,0.110118725564445,0.48533130320725,3.3565919475999
"16","GalBay_TX_2022-6-2",29.5475,-94.90361,1,17,12.2,30,0.538461538,0,0,-1.29107081240794,-1.18056263663663,0.655566485071134,0.664388928419212,-0.596864783436757,-0.348518023882863,-0.592735984307444
"17","GriceCove_SC_2022-8-10",32.7523094,-79.8976693,22,29,12,29.4,1,0,0,0.895600153744232,0.40811664939764,0.599218186955723,0.47802886709482,1.04795399260685,-0.348518023882863,-0.592735984307444
"18","HC_DB_NJ_2022-9-23",39.434722,-75.516944,1.309,10.013,8.136,26.748,0.384615385,0,0.0667,-1.25889551104884,-2.10557115093008,-0.489430932634023,-0.345682603958992,-1.14513770522085,-0.348518023882863,-0.113790215110681
"19","IL_ApBay_FL_2023-10-3",29.689108,-85.220739,9.7,31.6,13.9,30.3,1,0,0,-0.385164269287754,0.752330494705065,1.13452701905213,0.757568959081408,1.04795399260685,-0.348518023882863,-0.592735984307444
"21","LakeFortuna_LA_2022-5-11",29.64379,-89.49761,1.7,18,12.6,30.3,0.25,0,0,-1.21818178020287,-1.04817269613377,0.768263081301956,0.757568959081408,-1.62487651579118,-0.348518023882863,-0.592735984307444
"22","LCP_UP_MD_2022-10-20",38.33696,-76.97669,2.785,12.07,4.7,27,0.642857143,0,0.0625,-1.105203780285,-1.83324504331571,-1.45749469425679,-0.267411378202748,-0.224822439454529,-0.348518023882863,-0.143948719317973
"23","Mer_GA_2022-7-26",31.453512,-81.363169,17,31,12.8,30,1,0.05,0.1111,0.374964209422286,0.672896530403351,0.824611379417368,0.664388928419212,1.04795399260685,0.0684066396621932,0.20502825793784
"24","Nickle_Rf_LA_2022-8-1",29.4196,-91.70716,0.4,8.3,11.7,30.2,0.25,0,0,-1.35354712572657,-2.33235511901148,0.514695739782605,0.726508948860676,-1.62487651579118,-0.348518023882863,-0.592735984307444
"27","OL_MI_SC_2022-5-31",33.5235297,-79.061842,32.404,35.61466667,10.84666667,28.36,0.764705882,0.157894737,0,1.97893942668934,1.28383197628516,0.274276335429322,0.155004760799207,0.209418929890844,0.96808617810234,-0.592735984307444
"28","Orrs_Cove_ME_2022-10-31",43.83136167,-69.91531433,26.29,31.48,7.563,21.5,0.352941176,0,0.2,1.34230579397246,0.736443701844722,-0.650868806734677,-1.97571194034301,-1.25801742808029,-0.348518023882863,0.843383263658863
"30","SaLa_GA_2022-10-5",29.785,-93.91806,2.646948278,23.8671,12.65197754,30.62636812,1,0,0,-1.11957871801475,-0.271427676209469,0.782907310898085,0.858938930510618,1.04795399260685,-0.348518023882863,-0.592735984307444
"31","SaltBay_Canada_2022-9-27",43.812486,-65.910547,21.3,30.5,1.81,20.34,0.333333333,0,0,0.82271112153916,0.606701560151923,-2.27172760202448,-2.3360080589035,-1.32789534937933,-0.348518023882863,-0.592735984307444
"32","Sapelo_Is_GA_2022-7-17",31.4177723,-81.2957724,20.8,32.2,12.4,29.7,1,0,0.0714,0.770647527106965,0.831764459006779,0.711914783186545,0.571208897757016,1.04795399260685,-0.348518023882863,-0.0800414127834724
"33","SawIs_MA_2022-9-5",42.751733,-70.83657,11.84,30.81,11.63,24.76,0.95,0,0.0556,-0.162332085117961,0.647742441707809,0.494973835442212,-0.963155607147144,0.869765292046985,-0.348518023882863,-0.193494833372811
"35","SkR_GA_2022-6-14",31.98995,-81.02173,21.53821623,29.82,11.056,30.054,1,0,0,0.847515907910932,0.516676400609982,0.333254219850981,0.681161333938407,1.04795399260685,-0.348518023882863,-0.592735984307444
"37","TP_TX_2022-6-28",28.6936,-96.2233,7,27,13.2,30.9,0.846153846,0,0,-0.666307679221604,0.143336768391928,0.93730797564819,0.9439290204058,0.499681067258984,-0.348518023882863,-0.592735984307444
"38","UNCW_MS_NC_2023-7-17",34.1402344,-77.8636305,21.73,34.4,10.83888889,28.72222222,0.944444444,0,0.4706,0.867485812750847,1.12302232811306,0.272085012098742,0.267511019352969,0.849966545956434,-0.348518023882863,2.78645260615728
"12","CB_TX_2022-6-9",28.096,-97.174,5.9,36.7,13.8,30.5,0.666666667,0,0,-0.780847586972432,1.42751919126963,1.10635286999442,0.819688979522872,-0.139970676604348,-0.348518023882863,-0.592735984307444
"25","DC_DR_ME_2022-10-25",44.02452236,-69.53203214,30.5,32.06,8.38,19.14,0.125,0,0.1429,1.78068125909154,0.813229867336379,-0.420686008933221,-2.70872818155228,-2.07034826719086,-0.348518023882863,0.433371218364482
"3","DWS_CB_VA_2022-10-7",37.14888,-76.63554,12.2,19.1,6.1,28.1,0.461538462,0,0.0556,-0.124846297126781,-0.902543761580632,-1.06305660744891,0.0742487342253047,-0.871001242546918,-0.348518023882863,-0.193494833372811
"41","KP_FGR_FL_2022-8-23",30.44003,-81.43638,27.85066428,35.97585067,14.559,29.279,0.947368421,0,0,1.50481337820993,1.33164910455575,1.32019466134241,0.440446254727734,0.860386939198373,-0.348518023882863,-0.592735984307444
"51","Sister_Lk_LA_2022-8-9",29.239925,-90.911362,3,18,13.2,30.7,0.388888889,0,0,-1.08281643467916,-1.04817269613377,0.93730797564819,0.881808999964336,-1.1299079027289,-0.348518023882863,-0.592735984307444
"61","SR_GB_NH_2022-8-12",43.053746,-70.911544,5.9,28.6,7.2,24.2,0.9375,0,0.3333,-0.780847586972432,0.355160673196498,-0.753140967814148,-1.13709166438324,0.825218116907018,-0.348518023882863,1.80055674242841
"26","S1_LOLA",37.9803,-76.4619,8.30654905077971,16.4543831521622,5.0345031055959,27.7325858920329,0.3516666666,0,0,-0.530260399450477,-1.25279681865923,-1.36325129068355,-0.0398701252616879,-1.26255949155703,-0.348518023882863,-0.592735984307444
"34","S2_DEBY",37.247284,-76.499369,15.75,22.34,6.51,27.441,0.6529333333,0.487704918032787,0.139810426540284,0.2448052233418,-0.47360035435138,-0.947542596312317,-0.13043673312932,-0.18891317433151,3.71820615331891,0.411186238796965
