"ID_SiteDate","Site_Order","State_Abbrev","Site_Key","Date","Collection_method","Depth_m","Latitude_manual","Longitude_manual","Pea_crab","Polydora.active","Boring_sponge","Total_area_infected_num","boringsponge_prev_percent","polydoraactive_prev_percent","download_date_sal","source_description_sal","lat_sal","lon_sal","firstyear_sal","finalyear_sal","Mean_Annual_Salinity_ppt","Mean_max_Salinity_ppt","Mean_min_Salinity_ppt","Salinity_st_dev","Salinity_n","Salinity_years","salinity_quantile_10","salinity_quantile_90","collection_type_sal","download_date_temp","source_description_temp","lat_temp","lon_temp","firstyear_temp","finalyear_temp","Mean_Annual_Temperature_C","Mean_max_temperature_C","Mean_min_temperature_C","Temperature_st_dev","Temperature_n","Temperature_years","temp_quantile_10","temp_quantile_90","collection_type_temp","Dermo_Prevalence","MSX_Prevalence"
"AC_LIS_CT_2023-10-3",29,"CT","62d6c8c1","10/3/23","intertidal",NA,41.146431,-73.235759,0.263157895,0.947368421,0,45.13083333,0,94.73684211,"3/27/24","USGS Water Data  - Housatonic River NR Nells Island NR Stratford, CT - 01208837",41.1884333,-73.12125278,2020,2023,13.74925073,28.75,0.5,9.614096708,60726,4,1.1,27,"continuous","3/27/24","USGS Water Data  - Housatonic River NR Nells Island NR Stratford, CT - 01208837",41.1884333,-73.12125278,2020,2023,17.28614267,26.6,7.125,7.27605337,60726,4,4.5,24.4,"continuous",0.8889,0
"Cal_Lake_LA_2022-8-11",5,"LA","7cfe672c","8/11/22","subtidal_dredge",1.828,29.84499,-93.3179,0,1,0.05,46.285,5,100,"8/14/23","USGS Water Data Calcasieu River - 08017118",29.8157762,-93.349043,2007,2022,17.36607903,31.5625,3.89375,6.385193467,168813,16,8.7,25,"continuous","8/14/23","USGS Water Data Calcasieu River - 08017118",29.8157762,-93.349043,2007,2022,22.68097836,32.9125,7.50625,6.670750162,168813,16,13.4,30.7,"continuous",0.3889,0
"CB_TX_2022-6-9",1,"TX","6e0ec406","6/9/22","subtidal_dredge",1.2,28.096,-97.174,0,1,0.5,36.22083333,50,100,"7/7/23","NERR Centralized Data. Mission Aransas - Copano Bay West MARCWWQ",28.0841,-97.2009,2007,2021,20.85778793,29.90625,6.34375,11.66413094,490047,16,5.9,36.7,"continuous","7/7/23","NERR Centralized Data. Mission Aransas - Copano Bay West MARCWWQ",28.0841,-97.2009,2007,2021,23.10605003,32.61875,7.775,6.385486691,490047,16,13.8,30.5,"continuous",0.2667,0.0588
"CC_VA_2022-7-11",25,"VA","926ac4eb","7/11/22","intertidal",0,37.616617,-75.663933,0,0.947368421,0,16.7025,0,94.73684211,"3/29/24","VIMS Eastern Shore Laboratory: Custis Channel/Wachapreague",37.60769,-75.6858,2016,2022,30.05792658,33.06285714,11.80285714,2.225725405,135848,7,27.34,32.39,"continuous","3/29/24","VIMS Eastern Shore Laboratory: Custis Channel/Wachapreague",37.60769,-75.6858,2016,2022,18.01110143,31.20171429,1.207142857,8.305380084,135848,7,6.158,27.893,"continuous",0.6111,0.0625
"CPR_MS_AL_2022-8-24",10,"AL","9afe0651","8/24/22","subtidal_diving",1.9812,30.37278,-88.31833,0,1,0.058823529,41.13833333,5.882352941,100,"7/11/23","NERR Centralized Data. Grand Bay - Point Aux Chenes Bay GNDPCWQ",30.3486,-88.4185,2005,2022,21.9349343,31.07894737,7.878947368,5.756667062,468737,19,14,28.8,"continuous","7/11/23","NERR Centralized Data. Grand Bay - Point Aux Chenes Bay GNDPCWQ",30.3486,-88.4185,2005,2022,22.45369386,33.36315789,6.726315789,6.895611896,468737,19,12.8,30.6,"continuous",0.1875,0
"CS_DB_NJ_2022-9-21",27,"NJ","a9a1e2b3","9/21/22","intertidal",NA,39.073592,-74.913017,0,NA,0,NA,0,NA,"8/18/23","Delaware Water Quality - CEMA at University of Delaware",39.085,-75.186,2005,2022,22.70900662,26.79222222,17.39444444,4.247331359,151,18,17.45,26.75,"monthly","8/18/23","Delaware Water Quality - CEMA at University of Delaware",39.085,-75.186,2005,2022,18.16364238,25.29555556,8.519444444,6.524409601,151,18,7.61,24.93,"monthly",0.1429,0.2
"Culch_Ba_LA_2022-6-21",8,"LA","bb5679af","6/21/22","subtidal_dredge",1.828,29.42362,-90.01914,0,1,0,46.05666667,0,100,"8/15/23","USGS Water Data Culch Plant/Hackberry Bay - 073802512",29.39855505,-90.0411844,2007,2022,9.411105429,27.8,0.533333333,5.698713142,154474,15,2.2,17,"continuous","8/15/23","USGS Water Data Culch Plant/Hackberry Bay - 073802512",29.39855505,-90.0411844,2007,2022,23.06439207,33.48666667,7.14,6.582084703,154474,15,13.6,30.6,"continuous",0.1538,0
"DC_DR_ME_2022-10-25",36,"ME","5647be80","10/25/22","intertidal",0.3048,44.02452236,-69.53203214,0,1,0,43.415,0,100,"3/25/24","University of Maine",43.86457,-69.89763,2015,2022,31.24049971,42.055,7.4475,1.59619422,13688,4,30.5,32.06,"intermittent","3/25/24","University of Maine",43.86457,-69.89763,2015,2022,14.81716832,25.175,8.255,4.017011625,13688,4,8.38,19.14,"intermittent",0,0.1429
"DC_NB_RI_2022-8-19",32,"RI","3ebfe0bd","8/19/22","intertidal",0,41.55897,-71.437883,0,1,0,51.48333333,0,100,"7/11/23","NERR Centralized Data. Narragansett Bay T-Wharf Bottom NARTBWQ",41.57836,-71.32112,2002,2022,30.52729905,33.41818182,19.45454545,1.082111898,629696,22,29.2,31.7,"continuous","7/11/23","NERR Centralized Data. Narragansett Bay T-Wharf Bottom NARTBWQ",41.57836,-71.32112,2002,2022,12.18311963,23.87272727,1.186363636,6.70828115,629696,22,3.5,21,"continuous",0.6111,0.0625
"DWS_CB_VA_2022-10-7",24,"VA","c60225dc","10/7/22","subtidal_dredge",3.9624,37.14888,-76.63554,0,1,0,54.71083333,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0769,0.0556
"EC_ApBay_FL_2023-10-4",12,"FL","ab95db59","10/4/23","intertidal",0,29.695683,-84.789312,0,1,0.052631579,47.41285714,5.263157895,100,"3/20/24","NERR Centralized Data. Apalachicola Bay - Cat Point APACPWQ",29.7021,-84.8802,2002,2023,21.42344243,34.74347826,1.895652174,7.928732351,635220,23,10.1,31.2,"continuous","3/20/24","NERR Centralized Data. Apalachicola Bay - Cat Point APACPWQ",29.7021,-84.8802,2002,2023,22.92667989,32.4,9.282608696,6.22572743,635220,23,14.1,30.4,"continuous",0.7368,0
"EelLake_Canada_2022-9-27",38,"CN","b885364e","9/27/22","",3.048,43.82746,-65.9007577,0,0.933333333,0,43.9,0,93.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"FC_LIS_CT_2023-10-11",30,"CT","32f6bc4c","10/11/23","intertidal",2,41.271986,-72.586128,0.263157895,1,0.210526316,53.20833333,21.05263158,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9474,0.1176
"FFJ_CF_NC_2023-7-19",20,"NC","8a6c50c7","7/19/23","intertidal",NA,33.9586917,-77.941833,0,0.95,0,27.7925,0,95,"8/16/23","NERR Centralized Data. North Carolina - Zeke's Basin/Cape Fear River NOCZBWQ",33.9547,-77.935,2002,2023,21.90667803,31.16956522,4.67826087,6.169087746,620857,23,13.2,29.3,"continuous","8/16/23","NERR Centralized Data. North Carolina - Zeke's Basin/Cape Fear River NOCZBWQ",33.9547,-77.935,2002,2023,20.25651559,35.98695652,1.017391304,7.466355564,620857,23,10,29.4,"continuous",0.7647,0.3889
"FP_Sav_GA_2022-6-10",17,"GA","d0fa1d3a","6/10/22","intertidal",0,32.01721,-80.92203,0.1,1,0,18.605,0,100,"3/20/24","National Parks Service Continuous Water Data - Fort Pulaski NM - Lazaretto Creek Dock",32.01414,-80.88412,2006,2022,23.10241328,33.33755517,9.56854204,4.642879576,234596,18,16.8518396,28.69560821,"continuous","3/20/24","National Parks Service Continuous Water Data - Fort Pulaski NM - Lazaretto Creek Dock",32.01414,-80.88412,2006,2022,20.85897517,30.44470401,8.338666667,6.761183644,242645,18,11.88,29.48,"continuous",0.2632,0.6
"GalBay_TX_2022-6-2",3,"TX","b8109736","6/2/22","subtidal_dredge",2.35,29.5475,-94.90361,0,1,0,34.48166667,0,100,"8/14/23","USGS Water Data Galveston Bay - 08067303",29.6703,-94.8536,2020,2022,11.88196063,20,3.666666667,5.231486863,52330,3,1,17,"continuous","8/14/23","USGS Water Data Galveston Bay - 08067303",29.6703,-94.8536,2020,2022,20.60186127,29.16666667,7.4,6.700543994,52330,3,12.2,30,"continuous",0.0769,0
"GriceCove_SC_2022-8-10",18,"SC","1c4ffeeb","8/10/22","intertidal",0.75,32.7523094,-79.8976693,0,0.947368421,0,20.66416667,0,94.73684211,"8/15/23","USGS Water Data Charleston Harbor - 021720710",32.7804544,-79.923699,2020,2022,25.00581197,33,19,2.642187798,2925,1,22,29,"continuous","8/15/23","USGS Water Data Charleston Harbor - 021720710",32.7804544,-79.923699,2007,2022,20.94015549,31.125,9.00625,6.777548068,476306,16,12,29.4,"continuous",0.6842,0
"HC_DB_NJ_2022-9-23",28,"NJ","1b37a22e","9/23/22","subtidal_dredge",3.66,39.434722,-75.516944,0,NA,0,NA,0,NA,"8/18/23","Delaware Water Quality - CEMA at University of Delaware",39.455,-75.56,2005,2022,5.849733333,10.04,1.857777778,3.291231782,150,18,1.309,10.013,"monthly","8/18/23","Delaware Water Quality - CEMA at University of Delaware",39.455,-75.56,2005,2022,18.911,26.81333333,8.996666667,6.827464253,150,18,8.136,26.748,"monthly",0,0.0667
"IL_ApBay_FL_2023-10-3",11,"FL","c435f215","10/3/23","intertidal",0,29.689108,-85.220739,0,1,0.277777778,43.86,27.77777778,100,"3/20/24","NERR Centralized Data. Apalachicola Bay - Dry Bar APADBWQ",29.6747,-85.0583,2002,2023,21.33549094,36.23478261,1.87826087,8.119103109,601948,23,9.7,31.6,"continuous","3/20/24","NERR Centralized Data. Apalachicola Bay - Dry Bar APADBWQ",29.6747,-85.0583,2002,2023,22.76206101,32.55652174,7.77826087,6.264802699,601948,23,13.9,30.3,"continuous",0.6111,0.0667
"KP_FGR_FL_2022-8-23",13,"FL","cba43d60","8/23/22","intertidal",0,30.44003,-81.43638,0,1,0,26.836875,0,100,"9/13/23","National Parks Service Continuous Water Data - Timucuan Preserve",30.44116,-81.43908,2005,2022,32.35225365,37.20420518,15.42244418,3.715396855,249752,20,27.85066428,35.97585067,"continuous","9/13/23","National Parks Service Continuous Water Data - Timucuan Preserve",30.44116,-81.43908,2005,2022,22.1556673,30.6387,10.38665,5.707664316,258086,20,14.559,29.279,"continuous",0.7895,0.0556
"LakeFortuna_LA_2022-5-11",9,"LA","C2191EB0","5/10/22","subtidal_dredge",2.4384,29.64379,-89.49761,0,NA,0.944444444,NA,94.44444444,NA,"8/17/23","USGS Water Data Lake Fortuna - 07374526",29.63354395,-89.5636694,2007,2022,9.574933836,24.3125,1.48125,5.899617703,147362,16,1.7,18,"continuous","8/17/23","USGS Water Data Lake Fortuna - 07374526",29.63354395,-89.5636694,2007,2022,22.16672005,32.46875,7.45,6.774471342,147362,16,12.6,30.3,"continuous",0,0
"LCP_UP_MD_2022-10-20",26,"MD","0a45bef1","10/20/22","subtidal_dredge",2.19456,38.33696,-76.97669,0,1,0,19.9525,0,100,"8/18/23","Maryland DNR/Eyes on the Bay - Lower Potomac River, Morgantown Bridge",38.3626,-76.9905,1986,2022,7.706231079,13.49459459,1.44972973,3.462920741,8456,37,2.785,12.07,"weekly_intermittent","8/18/23","Maryland DNR/Eyes on the Bay - Lower Potomac River, Morgantown Bridge",38.3626,-76.9905,1986,2022,16.85515732,28.25945946,2.851351351,8.377067205,8454,37,4.7,27,"weekly_intermittent",0.2143,0.0625
"Mer_GA_2022-7-26",15,"GA","18c005b3","7/18/22","intertidal",0,31.453512,-81.363169,0.05,0.95,0,25.81583333,0,95,"3/19/24","USGS Water Data Meridian Landing - 022035975",31.45333333,-81.3627778,2007,2022,24.11886211,31.6875,11.45625,5.358950634,495777,16,17,31,"continuous","3/19/24","USGS Water Data Meridian Landing - 022035975",31.45333333,-81.3627778,2007,2022,21.84500814,33.025,8.15,6.618344122,495777,16,12.8,30,"continuous",0.6,0.2778
"Nickle_Rf_LA_2022-8-1",6,"LA","d56488d8","8/1/22","subtidal_dredge",3.048,29.4196,-91.70716,0,1,0,52.69307692,0,100,"8/17/23","USGS Water Data Vermilion Bay - 07387040",29.71326575,-91.8803982,2007,2022,3.92085229,13.44,0.233333333,3.132714594,321792,15,0.4,8.3,"continuous","8/17/23","USGS Water Data Vermilion Bay - 07387040",29.71326575,-91.8803982,2007,2022,21.86322407,31.56666667,6.813333333,7.073808907,321792,15,11.7,30.2,"continuous",0,0
"NPS_PS_NC_2022-10-12",22,"NC","4a4ac84c","10/12/22","intertidal",0.1524,35.79389,-75.54978,0.333333333,1,0,45.11833333,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7368,0
"NR_NB_RI_2022-8-19",31,"RI","fd281881","8/19/22","intertidal",0,41.505,-71.453,0,1,0,55.98666667,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7647,0
"OL_MI_SC_2022-5-31",19,"SC","f78d68da","5/31/22","intertidal",0,33.5235297,-79.061842,0.157894737,0.947368421,0.210526316,30.28052632,21.05263158,94.73684211,"7/6/23","BCCWMS Coastal Volunteer Monitoring Data",33.52401,-79.06198,2008,2022,34.07826625,35.96555556,31.07244444,1.449343871,323,15,32.404,35.61466667,"intermittent_bimonthly","7/6/23","BCCWMS Coastal Volunteer Monitoring Data",33.52401,-79.06198,2008,2022,19.9819453,28.95777778,8.557777778,6.829213378,323,15,10.84666667,28.36,"intermittent_bimonthly",0.6875,0
"Orrs_Cove_ME_2022-10-31",35,"ME","ce36eb54","10/31/22","intertidal",0,43.83136167,-69.91531433,0,0.9,0,31.32666667,0,90,"3/21/24","University of Maine",43.986,-69.55,2015,2023,29.47828304,31.50428571,8.741428571,2.277877961,26314,7,26.29,31.48,"intermittent","3/21/24","University of Maine",43.986,-69.55,2015,2023,15.3288717,23.46,4.021428571,5.22149722,26314,7,7.563,21.5,"intermittent",0.0625,0.2667
"PrEdIs_CN_A_2022-10-18",39,"CN","b0ae4901","10/18/22","intertidal",0,46.1459253,-62.8874544,0,0.85,0,29.79916667,0,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"SaLa_GA_2022-10-5",4,"LA","ac30f455","10/5/22","subtidal_dredge",2.4384,29.785,-93.91806,0,1,0,38.49583333,0,100,"3/27/24","Water Data For Texas - Lower Sabine",29.758,-93.89,1990,2022,13.63909662,30.87521506,1.4121019,7.63580412,211620,32,2.646948278,23.8671,"continuous","3/27/24","Water Data For Texas - Lower Sabine",29.758,-93.89,1990,2022,22.37602366,32.30150936,7.265711411,6.85759973,212804,32,12.65197754,30.62636812,"continuous",0.9474,0.1111
"SaltBay_Canada_2022-9-27",37,"CN","7154602d","9/27/22","",1,43.812486,-65.910547,0,1,0,45.07,0,100,"3/25/24","Nova Scotia Gov Water Quality Data",43.79075,-65.83619,2020,2021,26.91323539,31.73333333,17.3,3.494291949,104893,3,21.3,30.5,"continuous","3/25/24","Nova Scotia Gov Water Quality Data",43.79075,-65.83619,2020,2021,11.84027107,23.37,0.815,6.958722129,56628,2,1.81,20.34,"continuous",0,0
"Sapelo_Is_GA_2022-7-17",14,"GA","a1ea71c2","7/17/22","intertidal",0,31.4177723,-81.2957724,0,0.833333333,0,26.385,0,83.33333333,"7/11/23","NERR Centralized Data. Sapelo Island - Lower Duplin SAPLDWQ",31.41794,-81.29605,1999,2022,26.95660344,35.352,6.128,4.596149854,639023,25,20.8,32.2,"continuous","7/11/23","NERR Centralized Data. Sapelo Island - Lower Duplin SAPLDWQ",31.41794,-81.29605,1999,2022,21.43557384,31.676,8.624,6.635617152,639023,25,12.4,29.7,"continuous",0.5385,0.1429
"SawIs_MA_2022-9-5",33,"MA","e867aaa8","9/5/22","intertidal",0,42.751733,-70.83657,0,0.95,0.1,53.59615385,10,95,"3/21/24","PIELTER Long-Term Montitoring Data",42.762543,-70.857724,2014,2022,22.36831402,31.09428571,5.284285714,7.347533235,72990,7,11.84,30.81,"continuous_seasonal","3/21/24","PIELTER Long-Term Montitoring Data",42.762543,-70.857724,2014,2022,18.93762387,26.95542857,7.966714286,5.121320363,72990,7,11.63,24.76,"continuous_seasonal",0.9,0.2222
"Sister_Lk_LA_2022-8-9",7,"LA","05f5093d","8/9/22","subtidal_dredge",2.19456,29.239925,-90.911362,0,1,0,35.4775,0,100,"8/15/23","USGS Water Data Sister Lake - 07381349",29.24916667,-90.9211111,2007,2022,10.4648686,25.75,0.96875,5.582166837,246950,16,3,18,"continuous","8/15/23","USGS Water Data Sister Lake - 07381349",29.24916667,-90.9211111,2007,2022,22.86358534,33.16875,7.3125,6.691385901,246950,16,13.2,30.7,"continuous",0.1111,0.0556
"SkR_GA_2022-6-14",16,"GA","153a9139","6/14/22","intertidal",0,31.98995,-81.02173,0,0.944444444,0,14.46666667,0,94.44444444,"4/18/24","Biological and Chemical Oceanography Data Management Office",31.9863317,-81.0052642,2013,2015,26.15427864,30.71770026,1.958482138,3.902788916,302091,3,21.53821623,29.82,"continuous","4/18/24","Biological and Chemical Oceanography Data Management Office",31.9863317,-81.0052642,2013,2015,21.2232698,29.75566667,6.719666667,7.514125596,302091,3,11.056,30.054,"continuous",0.4706,0.0667
"SR_GB_NH_2022-8-12",34,"NH","3d17d2e9","8/12/22","subtidal_tongs",2.5,43.053746,-70.911544,0,1,0.052631579,58.03769231,5.263157895,100,"7/11/23","NERR Centralized Data. Great Bay - Squamscott River GRBSQWQ",43.0524,-70.91181,1997,2022,18.64139071,30.04444444,1.144444444,8.32092582,432370,27,5.9,28.6,"continuous","7/11/23","NERR Centralized Data. Great Bay - Squamscott River GRBSQWQ",43.0524,-70.91181,1997,2022,16.71709323,27.16296296,2.548148148,6.449624801,432370,27,7.2,24.2,"continuous",0.625,0.3889
"TP_TX_2022-6-28",2,"TX","a9442c32","6/28/22","subtidal_dredge",2.2,28.6936,-96.2233,0,1,0.578947368,38.2625,57.89473684,100,"8/14/23","USGS Water Data Tres Palacios Bay - 08162675",28.6865,-96.2398,2020,2022,20.0276684,28.33333333,7.666666667,7.678590578,46985,3,7,27,"continuous","8/14/23","USGS Water Data Tres Palacios Bay - 08162675",28.6865,-96.2398,2020,2022,22.7038225,30.73333333,6.166666667,6.8796434,46985,3,13.2,30.9,"continuous",0.3846,0
"UNCW_MS_NC_2023-7-17",21,"NC","81326116","7/17/23","intertidal",0,34.1402344,-77.8636305,0,0.833333333,0,19.79,0,83.33333333,"8/16/23","UNCW's Shellfish Research Hatchery at the Center for Marine Science and NCNERR - CMSDOCK",34.14,-77.8625,2018,2023,28.62290766,36.35833333,0.171666667,5.018323783,151954,6,21.73,34.4,"weekly_continuous","8/16/23","UNCW's Shellfish Research Hatchery at the Center for Marine Science and NCNERR - CMSDOCK",34.14,-77.8625,2018,2023,19.66042658,30.72962963,2.389814815,6.773150885,151954,6,10.83888889,28.72222222,"weekly_continuous",0.5,0.4706
"WS_CB_VA_2022-10-7",23,"VA","c6a43169","10/7/22","subtidal_dredge",2.4384,37.063817,-76.562783,0.722222222,1,0.9,48.14083333,90,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0
