"method","biotic","sel","bag_site","event","kendall_surv","kendall_surv_pval","r2_surv","r2_surv_rank","kendall_len","kendall_len_pval","r2_len","r2_len_rank","signif_surv","signif_len","p_adj_surv","p_adj_len","signif_surv_adj","signif_len_adj"
"lea","b","sel","Lewisetta",4,-0.546018906231948,0.000312744268179226,0.506816714703136,0.633722671458521,-0.659772845030271,1.32795211688464e-05,0.297459380158381,0.857448107448107,TRUE,TRUE,0.040031266326941,0.000849889354806171,TRUE,TRUE
"lea","b","sel","YorkRiver",4,-0.176651524373782,0.266841853201803,0.0773619905910055,0.00139226887101,-0.457482152865436,0.00403311275357527,0.246380773714898,0.453502677529606,FALSE,TRUE,0.731901505919366,0.0240590537768708,FALSE,TRUE
"gf_geno","b","sel","Lewisetta",4,-0.136504726557987,0.367520738242143,0.117427391033369,0.0362383947289608,-0.447432159273402,0.00313994745503096,0.175903819076248,0.395604395604396,FALSE,TRUE,0.731901505919366,0.0236419573084684,FALSE,TRUE
"gf_geno","b","sel","YorkRiver",4,-0.285360154757648,0.0728664567249499,0.087959425971932,0.00203654399814589,-0.493718362993391,0.0019135787863865,0.3064051765471,0.157848007921845,FALSE,TRUE,0.388621102533066,0.0188413911274979,FALSE,TRUE
"rda","b","sel","Lewisetta",4,-0.364012604154632,0.0162609367804503,0.464812426921403,0.388140161725067,-0.508100926632507,0.000795961424972523,0.318426710521374,0.538461538461539,TRUE,TRUE,0.148671421992688,0.0114049360524733,FALSE,TRUE
"rda","b","sel","YorkRiver",4,-0.366891627545548,0.0211026818461498,0.308591440236101,0.335182263883321,-0.303478259821626,0.05644942712165,0.116837482210871,0.298531884011225,TRUE,FALSE,0.160267844666344,0.150531805657733,FALSE,FALSE
"env_dist","b","sel","Lewisetta",4,-0.204757089836981,0.176474290774069,0.181494887828517,0.15843066786463,-0.515684522552395,0.000663440613357049,0.309719705814474,0.674297924297924,FALSE,TRUE,0.632646134287127,0.0114049360524733,FALSE,TRUE
"env_dist","b","sel","YorkRiver",4,-0.0770019465219051,0.628382195637517,0.0184394517739937,0.00328294443866182,-0.249123944629693,0.117372240762198,0.0907016361502956,0.158940650733532,FALSE,FALSE,0.87427088088698,0.250394113626023,FALSE,FALSE
"lea","nb","sel","Lewisetta",4,-0.136504726557987,0.367520738242143,0.223407410512687,0.0587002096436059,-0.462599351113178,0.00225947858886886,0.185505664643725,0.488400488400489,FALSE,TRUE,0.731901505919366,0.0197641094945694,FALSE,TRUE
"lea","nb","sel","YorkRiver",4,-0.231005839565715,0.146497287558392,0.151857222067481,0.0169195229742155,-0.439364047801458,0.00575054088111214,0.229504898855881,0.430512809522158,FALSE,TRUE,0.586211200442221,0.0306695513659314,FALSE,TRUE
"gf_geno","nb","sel","Lewisetta",4,-0.0682523632789935,0.652304137211763,0.0239218824772723,0.00748727163821503,-0.379179795994408,0.0123100015412109,0.0329860113954899,0.256715506715507,FALSE,TRUE,0.89779494153877,0.0492400061648437,FALSE,TRUE
"gf_geno","nb","sel","YorkRiver",4,-0.149474366777816,0.347453842604331,0.0692557212192754,3.47014254651543e-05,-0.484659310461402,0.00231610658139485,0.254475185777554,0.094045820480188,FALSE,TRUE,0.731901505919366,0.0197641094945694,FALSE,TRUE
"rda","nb","sel","Lewisetta",4,-0.0530851714392172,0.726009770673111,0.105107809208405,0.0146750524109015,-0.242675069436421,0.109154778516566,0.0284019822611576,0.134615384615385,FALSE,FALSE,0.924886553953043,0.248503899563644,FALSE,FALSE
"rda","nb","sel","YorkRiver",4,-0.258182997161682,0.104623423288806,0.162826033777073,0.106695788021387,-0.19476962943776,0.220858540896306,0.085015276826697,0.176469067012273,FALSE,FALSE,0.515069160806431,0.387258811434618,FALSE,FALSE
"env_dist","nb","sel","Lewisetta",4,-0.136504726557987,0.367520738242143,0.0553103210398002,0.0362383947289608,-0.447432159273402,0.00313994745503096,0.0986044555770277,0.395604395604396,FALSE,TRUE,0.731901505919366,0.0236419573084684,FALSE,TRUE
"env_dist","nb","sel","YorkRiver",4,-0.131356261713838,0.408999321706926,0.0369653110675236,0.00699719543079393,-0.303478259821626,0.05644942712165,0.172129411823592,0.276017682346475,FALSE,FALSE,0.731901505919366,0.150531805657733,FALSE,FALSE
"lea","b","ns","Lewisetta",4,-0.535769671261739,0.0030393346977047,0.489126703311194,0.563169642857143,-0.59143405269153,0.00106921275491937,0.147238814538579,0.757032967032967,TRUE,TRUE,0.055576405900886,0.0114049360524733,FALSE,TRUE
"lea","b","ns","YorkRiver",4,-0.106399035319786,0.58257020399323,0.0356682693321762,0.00121839780688395,-0.177331725532977,0.359636881555037,0.0395542737172094,0.111728805365883,FALSE,FALSE,0.847374842171971,0.517520245856311,FALSE,FALSE
"gf_geno","b","ns","Lewisetta",4,-0.0347902383936194,0.847389659686714,0.0305351417608395,0.0241071428571429,-0.285279954827679,0.114544766205117,0.0193144473904452,0.112527472527473,FALSE,FALSE,0.943181534259995,0.248503899563644,FALSE,FALSE
"gf_geno","b","ns","YorkRiver",4,-0.319197105959359,0.0991675074877558,0.0477495778049975,1.60992021473676e-32,-0.248264415746168,0.19967427621136,0.037576478381163,0.174433629080886,FALSE,FALSE,0.50773763833731,0.359976159930339,FALSE,FALSE
"rda","b","ns","Lewisetta",4,-0.410524813044709,0.023152362663758,0.419234213711355,0.25679347826087,-0.521853575904291,0.00389241712277863,0.199122671770566,0.355566172957477,TRUE,TRUE,0.164639023386723,0.0240590537768708,FALSE,TRUE
"rda","b","ns","YorkRiver",4,-0.425596141279145,0.0279108366998985,0.291934700369721,0.393232827572834,-0.141865380426382,0.463652495869384,0.000985804314929271,0.198745997095791,TRUE,FALSE,0.188030899873,0.61306670917638,FALSE,FALSE
"env_dist","b","ns","Lewisetta",4,-0.160035096610649,0.376010803629976,0.0956954758177107,0.0241071428571429,-0.410524813044709,0.023152362663758,0.158421064254702,0.464285714285714,FALSE,TRUE,0.731901505919366,0.0871618359106182,FALSE,FALSE
"env_dist","b","ns","YorkRiver",4,-0.0177331725532977,0.927011304686917,0.00111278459568333,7.5306875517734e-05,0.124132207873084,0.521366727700155,0.0979818678739192,0.0204520668688468,FALSE,FALSE,0.949259575999403,0.635570868053522,FALSE,FALSE
"lea","nb","ns","Lewisetta",4,-0.160035096610649,0.376010803629976,0.138299965681972,0.000506756756756764,-0.410524813044709,0.023152362663758,0.052417227579588,0.309438669438669,FALSE,TRUE,0.731901505919366,0.0871618359106182,FALSE,FALSE
"lea","nb","ns","YorkRiver",4,-0.212798070639573,0.271650893822139,0.168413779298592,0.0264754550468836,-0.141865380426382,0.463652495869384,0.00513909881969824,0.0805704489915016,FALSE,FALSE,0.731901505919366,0.61306670917638,FALSE,FALSE
"gf_geno","nb","ns","Lewisetta",4,-0.0347902383936194,0.847389659686714,0.00388761845212931,0.0582298136645962,-0.285279954827679,0.114544766205117,0.0240398774886624,0.0462494027711419,FALSE,FALSE,0.943181534259995,0.248503899563644,FALSE,FALSE
"gf_geno","nb","ns","YorkRiver",4,-0.0531995176598931,0.783456708033683,0.0257650315907607,0.00582402772429725,-0.23053124319287,0.233702898814878,0.0305224663836919,0.209151325338018,FALSE,FALSE,0.924886553953043,0.398852947310725,FALSE,FALSE
"rda","nb","ns","Lewisetta",4,0.0765385244659627,0.672010595680848,0.0479430217946817,0.0372670807453416,-0.0347902383936194,0.847389659686714,0.0011921395347789,0.000382226469182991,FALSE,FALSE,0.908915584883226,0.874724809999189,FALSE,FALSE
"rda","nb","ns","YorkRiver",4,-0.212798070639573,0.271650893822139,0.151589079000482,0.0984626449698822,0.0709326902131909,0.714049541974307,0.0109548266465272,0.0107902762667428,FALSE,FALSE,0.731901505919366,0.797576193683478,FALSE,FALSE
"env_dist","nb","ns","Lewisetta",4,-0.0347902383936194,0.847389659686714,0.00169199063175233,0.0241071428571429,-0.285279954827679,0.114544766205117,0.00120922372251844,0.112527472527473,FALSE,FALSE,0.943181534259995,0.248503899563644,FALSE,FALSE
"env_dist","nb","ns","YorkRiver",4,-0.0177331725532977,0.927011304686917,0.00876293408222881,0.0101204416192707,0.124132207873084,0.521366727700155,0.021348256563043,0.0032521404393708,FALSE,FALSE,0.949259575999403,0.635570868053522,FALSE,FALSE
